strain	date
J02176|A/WSN/1933	1956-XX-XX
CY021709|A/AA/Huston/1945	1968-XX-XX
CY020285|A/AA/Marton/1943	1966-XX-XX
CY025381|A/Alabama/UR06_0455/2007	2007-02-28
CY027411|A/Alabama/UR06_0536/2007	2007-03-06
EU716540|A/Alaska/02/2008	2008-01-16
EU716555|A/Alaska/03/2008	2008-01-18
FJ687001|A/Alaska/05/2008	2008-12-10
EU516254|A/Alaska/11/2007	2007-12-03
EU516256|A/Alaska/13/2007	2007-12-04
CY019955|A/Alaska/1935	1958-XX-XX
CY021821|A/Albany/12/1951	1974-XX-XX
CY022093|A/Albany/13/1951	1974-XX-XX
CY022021|A/Albany/14/1951	1974-XX-XX
CY021901|A/Albany/1618/1951	1974-XX-XX
CY021797|A/Albany/20/1978	1978-XX-XX
CY019947|A/Albany/4835/1948	1971-XX-XX
CY021701|A/Albany/4836/1950	1973-XX-XX
CY026411|A/Albany/8/1979	1979-XX-XX
S62154|A/Alma_Ata/1417/84	1984-XX-XX
EU516243|A/Arizona/03/2007	2007-12-06
EU566991|A/Arizona/04/2007	2007-11-14
EU516246|A/Arizona/07/2007	2007-12-02
FJ179358|A/Arizona/13/2007	2007-12-12
FJ686985|A/Arizona/13/2008	2008-11-16
FJ686949|A/Arizona/13/2008	2008-11-16
CY019963|A/Arizona/14/1978	1978-XX-XX
FJ179359|A/Arizona/14/2007	2007-12-12
EU566966|A/Arizona/15/2007	2007-12-22
EU199351|A/Arkansas/01/2007	2007-07-19
EU199356|A/Arkansas/01/2007	2007-07-19
CY022149|A/Auckland/579/2000	2000-08-30
CY022157|A/Auckland/580/2000	2000-09-06
CY022165|A/Auckland/581/2000	2000-09-05
CY022173|A/Auckland/582/2000	2000-11-09
CY025026|A/Auckland/584/2000	2000-09-13
CY026155|A/Auckland/585/2000	2000-09-15
CY022485|A/Auckland/586/2000	2000-09-20
CY022493|A/Auckland/587/2000	2000-09-19
CY022509|A/Auckland/590/2000	2000-09-26
CY023010|A/Auckland/591/2000	2000-10-02
CY023018|A/Auckland/595/2000	2000-11-03
CY025034|A/Auckland/597/2000	2000-10-30
CY022533|A/Auckland/605/2001	2001-07-05
CY022541|A/Auckland/606/2001	2001-07-23
CY022581|A/Auckland/619/2005	2005-07-01
HM144111|A/Azarbayejan_Sharghi/147/2005	2005-12-31
HM144112|A/Azarbayejan_Sharghi/179/2006	2006-01-17
HM144113|A/Azarbayejan_Sharghi/181/2006	2006-01-18
HM144114|A/Azarbayejan_Sharghi/150/2006	2006-01-10
HM144115|A/Azarbayejan_Sharghi/153/2006	2006-01-08
HM144116|A/Azarbayejan_Sharghi/155/2006	2006-01-10
FJ231776|A/Baden_Wuerttemberg/3/2006	2006-XX-XX
FJ231777|A/Baden_Wuerttemberg/4/2006	2006-XX-XX
FJ231778|A/Baden_Wuerttemberg/5/2006	2006-XX-XX
CY125108|A/Bangkok/163/2000	2000-XX-XX
JX477157|A/Bangkok/163/2000	2000-XX-XX
CY242091|A/Bayern/7/1995	1995-XX-XX
CY010364|A/Baylor/11515/1982	1982-XX-XX
CY009620|A/Baylor/11735/1982	1982-XX-XX
CY021029|A/Baylor/4052/1981	1981-XX-XX
CY033614|A/Beijing/262/1995	1995-XX-XX
AY289928|A/Beijing/262/95	1995-XX-XX
CY009276|A/Bel/1942	1965-XX-XX
CY146769|A/Bellamy/JY2/1942	1965-XX-XX
FJ231781|A/Berlin/13/2006	2006-XX-XX
FJ231779|A/Berlin/6/2006	2006-XX-XX
FJ231762|A/Berlin/60/2005	2005-XX-XX
FJ231780|A/Berlin/9/2006	2006-XX-XX
CY096811|A/bh/1935	1958-XX-XX
CY147326|A/BH/JY2/1935	1958-XX-XX
CY044484|A/Boston/12/2007	2007-12-04
CY044373|A/Boston/26/2008	2008-02-03
CY044532|A/Boston/27/2008	2008-02-04
CY044556|A/Boston/34/2008	2008-02-09
CY044564|A/Boston/35/2008	2008-02-12
CY044660|A/Boston/49/2008	2008-02-20
CY044684|A/Boston/52/2008	2008-02-23
FJ231782|A/Brandenburg/1/2006	2006-XX-XX
CY020293|A/Brazil/11/1978	1978-XX-XX
CY125116|A/Brazil/74200/2000	2000-XX-XX
FJ231763|A/Bremen/4/2005	2005-XX-XX
FJ231764|A/Bremen/5/2005	2005-XX-XX
CY163832|A/Brisbane/59/2007	2007-XX-XX
CY163856|A/Brisbane/59/2007	2007-XX-XX
CY163824|A/Brisbane/59/2007	2007-XX-XX
CY163864|A/Brisbane/59/2007	2007-XX-XX
