strain	date
1_0087_PF	2013-12-XX
1_0181_PF	2013-12-XX
1_0199_PF	2013-11-XX
Aedes_aegypti/USA/2016/FL05	2016-09-09
BRA/2016/FC_6706	2016-04-08
Brazil/2015/ZBRA105	2015-02-23
Brazil/2015/ZBRC301	2015-05-13
Brazil/2015/ZBRC303	2015-05-14
Brazil/2016/ZBRC16	2016-01-19
COL/FLR_00008/2015	2015-12-XX
COL/FLR_00024/2015	2015-12-XX
COL/PRV_00028/2015	2016-12-XX
Colombia/2016/ZC204Se	2016-01-06
DOM/2016/BB_0059	2016-04-04
DOM/2016/BB_0183	2016-04-18
DOM/2016/BB_0433	2016-06-13
DOM/2016/MA_WGS16_011	2016-06-06
EcEs062_16	2016-04-XX
HND/2016/HU_ME59	2016-05-13
Nica1_16	2016-01-19
PAN/CDC_259359_V1_V3/2015	2015-12-18
PRVABC59	2015-12-XX
SG_018	2016-09-13
SG_027	2016-08-27
SG_056	2016-08-28
SG_074	2016-08-28
SMGC_1	2016-02-14
Thailand/1610acTw	2016-10-XX
USA/2016/FL022	2016-07-22
USA/2016/FLUR022	2016-08-31
USA/2016/FLWB042	2016-09-26
V8375	2015-11-01
VEN/UF_1/2016	2016-03-25
ZKC2/2016	2016-02-16
