,branch_lengths,dist,rep,quint
0,0.04243336254578759,14.493562776854624,1,1
1,0.04058013016491073,25.592495468740772,1,2
2,0.04176148277014657,35.88688920967745,1,3
3,0.04050041272102623,52.54620405888262,1,4
4,0.04095376853937733,86.40430315946921,1,5
0,0.04225699047619058,14.493562776854624,2,1
1,0.04030170816307829,25.592495468740772,2,2
2,0.039914889876373635,35.88688920967745,2,3
3,0.04177611066422364,52.54620405888262,2,4
4,0.04197991418956054,86.40430315946921,2,5
0,0.04191731505494509,14.493562776854624,3,1
1,0.04059523845167208,25.592495468740772,3,2
2,0.04045771939102579,35.88688920967745,3,3
3,0.04216624685295467,52.54620405888262,3,4
4,0.041093406652930486,86.40430315946921,3,5
0,0.04238254342948724,14.493562776854624,4,1
1,0.041056602601924064,25.592495468740772,4,2
2,0.041001849510073386,35.88688920967745,4,3
3,0.040597649436555215,52.54620405888262,4,4
4,0.041190774450549514,86.40430315946921,4,5
0,0.040694569793956074,14.493562776854624,5,1
1,0.040663744722858594,25.592495468740772,5,2
2,0.041470554578754634,35.88688920967745,5,3
3,0.041525771278057746,52.54620405888262,5,4
4,0.041875024139194236,86.40430315946921,5,5
0,0.041527758310439665,14.493562776854624,6,1
1,0.041507583467705104,25.592495468740772,6,2
2,0.041063765068681424,35.88688920967745,6,3
3,0.04067991526339904,52.54620405888262,6,4
4,0.04145064147893768,86.40430315946921,6,5
0,0.04111239992674004,14.493562776854624,7,1
1,0.040728273467705044,25.592495468740772,7,2
2,0.04111036453296707,35.88688920967745,7,3
3,0.04182261158497496,52.54620405888262,7,4
4,0.041456180462454244,86.40430315946921,7,5
0,0.040419997321428695,14.493562776854624,8,1
1,0.04128546606504818,25.592495468740772,8,2
2,0.04156715256410265,35.88688920967745,8,3
3,0.04076723469537347,52.54620405888262,8,4
4,0.04218975122252743,86.40430315946921,8,5
0,0.0424607891483517,14.493562776854624,9,1
1,0.04029608243701336,25.592495468740772,9,2
2,0.04077733577838829,35.88688920967745,9,3
3,0.041510288909757345,52.54620405888262,9,4
4,0.04118499280677663,86.40430315946921,9,5
0,0.041117755842490826,14.493562776854624,10,1
1,0.040838181754466414,25.592495468740772,10,2
2,0.04259806685439562,35.88688920967745,10,3
3,0.04156921731104002,52.54620405888262,10,4
4,0.04010654251373634,86.40430315946921,10,5
0,0.041745640883699725,14.493562776854624,11,1
1,0.041951794754924485,25.592495468740772,11,2
2,0.040187971808608135,35.88688920967745,11,3
3,0.04112476815391669,52.54620405888262,11,4
4,0.041219895068681386,86.40430315946921,11,5
0,0.041689395215201416,14.493562776854624,12,1
1,0.04082051629409077,25.592495468740772,12,2
2,0.040405852696886554,35.88688920967745,12,3
3,0.041570471126889746,52.54620405888262,12,4
4,0.041743521428571496,86.40430315946921,12,5
0,0.041910880801282156,14.493562776854624,13,1
1,0.04163425928538716,25.592495468740772,13,2
2,0.040885390741758315,35.88688920967745,13,3
3,0.04126079609711409,52.54620405888262,13,4
4,0.040538660636446976,86.40430315946921,13,5
0,0.04095360058608073,14.493562776854624,14,1
1,0.04072496218048572,25.592495468740772,14,2
2,0.04181478553571436,35.88688920967745,14,3
3,0.04142222135135138,52.54620405888262,14,4
4,0.041314075476190454,86.40430315946921,14,5
0,0.041694734391025626,14.493562776854624,15,1
1,0.041573817127805876,25.592495468740772,15,2
2,0.041093963470696056,35.88688920967745,15,3
3,0.04076791760421449,52.54620405888262,15,4
4,0.04109930161630044,86.40430315946921,15,5
0,0.04124645133699642,14.493562776854624,16,1
1,0.04216481197892816,25.592495468740772,16,2
2,0.040483257179487274,35.88688920967745,16,3
3,0.041819656449839704,52.54620405888262,16,4
4,0.0405163094322345,86.40430315946921,16,5
0,0.04089159363095246,14.493562776854624,17,1
1,0.04053905412276683,25.592495468740772,17,2
2,0.04210086754120898,35.88688920967745,17,3
3,0.041771003980760495,52.54620405888262,17,4
4,0.04092720043040297,86.40430315946921,17,5
0,0.043374915105311544,14.493562776854624,18,1
1,0.0409596153733395,25.592495468740772,18,2
2,0.04095109794413927,35.88688920967745,18,3
3,0.03952490496564356,52.54620405888262,18,4
4,0.04141835044871803,86.40430315946921,18,5
0,0.040571806904762,14.493562776854624,19,1
1,0.04215455151168123,25.592495468740772,19,2
2,0.04135723593864472,35.88688920967745,19,3
3,0.04054770977095747,52.54620405888262,19,4
4,0.04159859516025647,86.40430315946921,19,5
0,0.04120335526098912,14.493562776854624,20,1
1,0.04144990518552455,25.592495468740772,20,2
2,0.04157570366300382,35.88688920967745,20,3
3,0.041925907961520875,52.54620405888262,20,4
4,0.04007533561813188,86.40430315946921,20,5
0,0.0415547835210623,14.493562776854624,21,1
1,0.041471439541914984,25.592495468740772,21,2
2,0.04085734525641032,35.88688920967745,21,3
3,0.041032182808062305,52.54620405888262,21,4
4,0.04131405720695976,86.40430315946921,21,5
0,0.04141274059523814,14.493562776854624,22,1
1,0.04144539564819065,25.592495468740772,22,2
2,0.041366710947802234,35.88688920967745,22,3
